iter	RMSE
166	2.112675904
167	2.103228076
168	2.096134336
169	2.089704755
170	2.083285671
171	2.077124876
172	2.070624006
173	2.064300904
174	2.057990766
175	2.051844071
176	2.044219969
177	2.039385372
178	2.0335342
179	2.027745372
180	2.021705935
181	2.017504005
182	2.010451396
183	2.005451838
184	2.000965102
185	1.994318994
186	1.987096358
187	1.98244518
188	1.9761115
189	1.967787156
190	1.962280125
191	1.957228511
192	1.95183625
193	1.943879053
194	1.936460413
195	1.928755733
196	1.923014668
197	1.917915277
198	1.911652123
199	1.90581252
200	1.898435521
201	1.89423009
202	1.88682541
203	1.881526254
204	1.877577333
205	1.873002917
206	1.867926916
207	1.865812903
208	1.859757863
209	1.854697884
210	1.850318001
211	1.844018329
212	1.840732292
213	1.834545001
214	1.830563272
215	1.827097839
216	1.821264347
217	1.813200188
218	1.809715922
219	1.801270119
220	1.795745997
221	1.790620075
222	1.785600202
223	1.780090745
224	1.775730395
225	1.770931701
226	1.762859854
227	1.758692872
228	1.754684087
229	1.750747742
230	1.746671438
231	1.740447458
232	1.735614072
233	1.732380491
234	1.728265674
235	1.724352702
236	1.720911702
237	1.715275468
238	1.713282395
239	1.706252724
240	1.700908319
241	1.696649672
242	1.691840746
243	1.686731134
244	1.68235532
245	1.676706752
246	1.672651409
247	1.668192473
248	1.663178529
249	1.660677845
250	1.656224787
251	1.649896568
252	1.645499444
253	1.637554109
254	1.63174232
255	1.627117072
256	1.623344716
257	1.619613844
258	1.616049789
259	1.611629177
260	1.606136985
261	1.601329263
262	1.597001963
263	1.593722749
264	1.591558547
265	1.588611386
266	1.585734377
267	1.583105768
268	1.580294839
269	1.576253827
270	1.56980129
271	1.566185955
272	1.562860837
273	1.56011754
274	1.553646013
275	1.551320936
276	1.54679054
277	1.544972058
278	1.539603584
279	1.537264388
280	1.53371905
281	1.530253208
282	1.525830944
283	1.523577324
284	1.520005374
285	1.514630538
286	1.513463027
287	1.508492862
288	1.506108243
289	1.50359174
290	1.499485518
291	1.493635503
292	1.491112138
293	1.486526853
294	1.480940146
295	1.474335419
296	1.470631642
297	1.465596424
298	1.460353552
299	1.453069546
300	1.447872079
301	1.444295978
302	1.441277574
303	1.438822
304	1.435396244
305	1.431038094
306	1.427698635
307	1.422792324
308	1.418335297
309	1.415676063
310	1.414404144
311	1.410040973
312	1.406810157
313	1.403936898
314	1.399061243
315	1.397784446
316	1.396519325
317	1.391263033
318	1.386267673
319	1.384257565
320	1.382775908
321	1.379929801
322	1.37922462
323	1.378030147
324	1.376348835
325	1.37449348
326	1.372722222
327	1.37166399
328	1.368986339
329	1.363890379
330	1.360002545
331	1.358849027
332	1.354392967
333	1.352630241
334	1.348939718
335	1.343326859
336	1.337884917
337	1.336390094
338	1.331963167
339	1.327800998
340	1.32319116
341	1.319258396
342	1.314222374
343	1.313144279
344	1.309735775
345	1.308726788
346	1.306137738
347	1.304787989
348	1.300334196
349	1.299482139
350	1.298497101
351	1.294394109
352	1.290481846
353	1.288268504
354	1.285412136
355	1.282414418
356	1.28020261
357	1.275977943
358	1.273190291
359	1.269790809
360	1.268970989
361	1.264829115
362	1.258648423
363	1.254782736
364	1.251741759
365	1.250869176
366	1.247993445
367	1.245954437
368	1.243442907
369	1.239504388
370	1.237284112
371	1.233475748
372	1.23070177
373	1.227027071
374	1.222991005
375	1.21923644
376	1.217241368
377	1.213540073
378	1.21124423
379	1.207045385
380	1.204144403
381	1.200820907
382	1.197623615
383	1.195634354
384	1.194893958
385	1.191339161
386	1.18827095
387	1.185338548
388	1.181958891
389	1.179042099
390	1.175989285
391	1.173126985
392	1.170438293
393	1.167435108
394	1.164250471
395	1.163282289
396	1.158884492
397	1.155930349
398	1.153755322
399	1.150848914
400	1.149172819
401	1.147307277
402	1.143654092
403	1.142326218
404	1.137909095
405	1.135116024
406	1.131359166
407	1.127975719
408	1.12655508
409	1.124149599
410	1.123412753
411	1.122901479
412	1.122219014
413	1.11842032
414	1.115171573
415	1.113601068
416	1.110175854
417	1.107001568
418	1.105162744
419	1.102268036
420	1.09854019
421	1.096158252
422	1.095367761
423	1.092989006
424	1.088953462
425	1.086323495
426	1.08332892
427	1.080264754
428	1.077720195
429	1.07564511
430	1.074652794
431	1.071953167
432	1.067291385
433	1.065143049
434	1.061895541
435	1.059165805
436	1.056923796
437	1.05419691
438	1.051891469
439	1.048486599
440	1.046305342
441	1.043722466
442	1.043151198
443	1.042445415
444	1.042097058
445	1.039704091
446	1.038948172
447	1.037828072
448	1.034606302
449	1.034039315
450	1.030787974
451	1.027669796
452	1.027132894
453	1.026491624
454	1.02367831
455	1.020991707
456	1.018662102
457	1.015116215
458	1.012528399
459	1.009347851
460	1.007316329
461	1.005312625
462	1.002246465
463	0.9995515518
464	0.9989042212
465	0.9971821733
466	0.9967235348
467	0.9933712701
468	0.9926134211
469	0.9903780005
470	0.9881534279
471	0.9863650453
472	0.9841048028
473	0.9825191727
474	0.9801976047
475	0.9794413313
476	0.9767133683
477	0.975815806
478	0.9729868844
479	0.9710165602
480	0.9702528472
481	0.9676050068
482	0.9655922676
483	0.9651076448
484	0.9625392267
485	0.9599712452
486	0.9577656838
487	0.9552942668
488	0.9536100254
489	0.9525035461
490	0.9496897311
491	0.9478671647
492	0.9465267386
493	0.9454845602
494	0.9438637704
495	0.9416703148
496	0.9397344686
497	0.9378233029
498	0.9351945361
499	0.934376749
500	0.933739147
501	0.9306258923
502	0.9280202001
503	0.9262197228
504	0.9236580246
505	0.922560717
506	0.9197165123
507	0.9173684773
508	0.9169978336
509	0.9150503287
510	0.9123351541
511	0.9100720879
512	0.9071722492
513	0.9036563883
514	0.9014976768
515	0.89995108
516	0.8993509239
517	0.8989338568
518	0.8967786127
519	0.8944069945
520	0.8919222805
521	0.8913179993
522	0.8907939548
523	0.8898593223
524	0.8882998242
525	0.8864024503
526	0.885790633
527	0.8845530151
528	0.8827546367
529	0.8809133396
530	0.8792822811
531	0.8774914314
532	0.8751094701
533	0.8737112942
534	0.8734747194
535	0.8727019029
536	0.8723886553
537	0.8698958458
538	0.8676947581
539	0.8654507183
540	0.8637374042
541	0.8610421739
542	0.859537863
543	0.8576498269
544	0.8569596801
545	0.8552248554
546	0.8540547472
547	0.8521104263
548	0.8501688747
549	0.849551483
550	0.8476266983
551	0.8473379074
552	0.845143089
553	0.8441578932
554	0.841799149
555	0.8415192144
556	0.8395603935
557	0.837889233
558	0.8362063643
559	0.8341269074
560	0.8317886278
561	0.8315504403
562	0.8300900987
563	0.8278580023
564	0.8267378189
565	0.8251989328
566	0.8231811898
567	0.8214293506
568	0.8205494105
569	0.8187243104
570	0.8173382451
571	0.8151389545
572	0.8133096578
573	0.8116427474
574	0.8101269728
575	0.8083413507
576	0.8071098327
577	0.8048816009
578	0.8046773395
579	0.8043704108
580	0.8028451021
581	0.8009947982
582	0.7991400941
583	0.7987949859
584	0.7970470205
585	0.7968226208
586	0.7966537006
587	0.7960259292
588	0.7937828103
589	0.7918399154
590	0.7915979172
591	0.7908742123
592	0.7887570863
593	0.7873570466
594	0.7853886148
595	0.7833277376
596	0.7815779833
597	0.7796619089
598	0.7787111189
599	0.7781826065
600	0.7767421451
601	0.7760505656
602	0.7739790048
603	0.7715227871
604	0.7689628
605	0.7685386398
606	0.76676396
607	0.7665252366
608	0.7642072181
609	0.7628946502
610	0.7611468059
611	0.7598486633
612	0.7577293833
613	0.7574795932
614	0.7562995917
615	0.7552955229
616	0.7541550989
617	0.7538773637
618	0.7519629621
619	0.7509086817
620	0.7504578172
621	0.7493745904
622	0.7473030361
623	0.7469802742
624	0.7454306414
625	0.7439190897
626	0.742196393
627	0.7406939877
628	0.7392222331
629	0.7375418761
630	0.7371101381
631	0.7357600327
632	0.7340482815
633	0.7320551605
634	0.731121746
635	0.7297811077
636	0.7281516854
637	0.7267489523
638	0.7251005836
639	0.7233440964
640	0.7229862772
641	0.7216243721
642	0.7205114714
643	0.720270918
644	0.718358371
645	0.7174711709
646	0.7165153019
647	0.7153108825
648	0.7138014233
649	0.7117909628
650	0.7105623879
651	0.7092687671
652	0.7083055673
653	0.7078001305
654	0.7072546129
655	0.7053548538
656	0.7032572525
657	0.7016357702
658	0.7009372171
659	0.7007403638
660	0.7001809355
661	0.6993288991
662	0.6981892797
663	0.6970053923
664	0.6964906637
665	0.6948229214
666	0.6936149627
667	0.6923741602
668	0.6914057753
669	0.6911178103
670	0.6894875042
671	0.6880317359
672	0.6867791345
673	0.6853624501
674	0.68411686
675	0.6825917201
676	0.6811211593
677	0.6799816747
678	0.6793695972
679	0.6780935737
680	0.6778057186
681	0.676083758
682	0.6745237182
683	0.6737859541
684	0.6722710595
685	0.6709806125
686	0.6697128878
687	0.6689436642
688	0.6684357595
689	0.6674698874
690	0.6664821581
691	0.6647299733
692	0.6638504014
693	0.663631555
694	0.661983355
695	0.6611180543
696	0.6593716117
697	0.6580488839
698	0.6575106699
699	0.6567464888
700	0.6552407093
701	0.654002048
702	0.652964326
703	0.6518017287
704	0.6503190673
705	0.6500023405
706	0.6486572855
707	0.6473201735
708	0.6456990272
709	0.6447819751
710	0.6438071986
711	0.6424181486
712	0.6407637691
713	0.6397310781
714	0.6383553826
715	0.6380943426
716	0.6378143244
717	0.6363301937
718	0.6359975114
719	0.6351610556
720	0.6337750621
721	0.6330596254
722	0.6320176872
723	0.6307443942
724	0.6291992932
725	0.6274711834
726	0.6266755462
727	0.6259104401
728	0.6246295655
729	0.6234027608
730	0.6221950458
731	0.6207407422
732	0.6200775688
733	0.6187103399
734	0.6174932027
735	0.6166229744
736	0.6152521371
737	0.6145316818
738	0.6131127113
739	0.6117922957
740	0.6107290572
741	0.6101413018
742	0.6088913038
743	0.6078144315
744	0.6063584896
745	0.6059571336
746	0.6049054713
747	0.6036659839
748	0.6026239219
749	0.6016376937
750	0.600498618
751	0.5995037288
752	0.5986264427
753	0.5972841718
754	0.5959284771
755	0.5947131813
756	0.5935864938
757	0.5929587257
758	0.591825227
759	0.5914599681
760	0.5908113957
761	0.5899928048
762	0.5887705096
763	0.5877968885
764	0.5862378859
765	0.5854263615
766	0.5847670011
767	0.5838629473
768	0.5828923606
769	0.5821553144
770	0.5819350588
771	0.5818191308
772	0.5807474881
773	0.5802116221
774	0.5793320896
775	0.5782029332
776	0.5766642127
777	0.5756496193
778	0.5752917739
779	0.5739550064
780	0.5724877212
781	0.5715228112
782	0.5711287227
783	0.5698548076
784	0.5689912029
785	0.5677705169
786	0.5668289076
787	0.5657561239
788	0.5649330823
789	0.5637413794
790	0.5625009043
791	0.5618002275
792	0.5607385199
793	0.5601458399
794	0.5591669151
795	0.5581302767
796	0.5567626593
797	0.5558206176
798	0.554710871
799	0.5544161801
800	0.5533788075
801	0.5531522499
802	0.5520119302
803	0.5507153083
804	0.5501115938
805	0.5491582995
806	0.5484060744
807	0.5479111443
808	0.5468785515
809	0.5457893742
810	0.5452389719
811	0.5443108927
812	0.5439223016
813	0.543744224
814	0.5434067333
815	0.5427666197
816	0.542128602
817	0.5408773844
818	0.5407262478
819	0.5401537151
820	0.5391299565
821	0.5379642231
822	0.5371962754
823	0.5362919933
824	0.5354550776
825	0.5345916949
826	0.5342615737
827	0.534076448
828	0.5331476449
829	0.531907453
830	0.531105033
831	0.5306737482
832	0.529765357
833	0.5291979175
834	0.5286916574
835	0.5284947225
836	0.527583368
837	0.5271022648
838	0.5264214695
839	0.525020956
840	0.5240580109
841	0.5238816626
842	0.5230535489
843	0.5222588401
844	0.5218067807
845	0.5213193173
846	0.5206246968
847	0.5199134371
848	0.5188564875
849	0.5186775686
850	0.5177338066
851	0.5170685325
852	0.5162952087
853	0.515338471
854	0.5147529584
855	0.5143236268
856	0.5132556459
857	0.51221002
858	0.5118070921
859	0.5114628442
860	0.5104835129
861	0.5097368056
862	0.5095096021
863	0.5092395902
864	0.508427281
865	0.5079086265
866	0.5068547179
867	0.5064035747
868	0.5050474456
869	0.5041523015
870	0.5029343311
871	0.5022341208
872	0.5019692845
873	0.5004635308
874	0.4995373763
875	0.4984564877
876	0.4980789417
877	0.4970742182
878	0.4964048934
879	0.4953577584
880	0.4945490754
881	0.4933675596
882	0.4923733995
883	0.4917242313
884	0.4910418949
885	0.4905312109
886	0.4900751616
887	0.4896306549
888	0.4890792962
889	0.4883616261
890	0.4876649264
891	0.4868481892
892	0.4859546228
893	0.4855006409
894	0.4850562633
895	0.4846694238
896	0.4843075968
897	0.4830776893
898	0.4820253995
899	0.4810094084
900	0.479697566
901	0.4791860325
902	0.4789335475
903	0.4785722426
904	0.4780476106
905	0.4768324571
906	0.4764871712
907	0.4756852024
908	0.4752229788
909	0.4750145019
910	0.4747181802
911	0.4739646758
912	0.473050566
913	0.4720943762
914	0.4711652534
915	0.4709247912
916	0.4698838403
917	0.4692711364
918	0.4686695184
919	0.4671662355
920	0.4666876001
921	0.4657806901
922	0.4651922201
923	0.4644475736
924	0.4639634627
925	0.4636034662
926	0.4630343609
927	0.4625413275
928	0.4616371428
929	0.4605566516
930	0.4599586864
931	0.4593887325
932	0.4586683244
933	0.4584712696
934	0.4578444273
935	0.4576629299
936	0.4570730246
937	0.4565375726
938	0.4558951502
939	0.4551860131
940	0.4550121154
941	0.4544124849
942	0.453639073
943	0.452652183
944	0.4517605846
945	0.4512115556
946	0.4503968239
947	0.4496405394
948	0.4487891107
949	0.4476515266
950	0.4473455447
951	0.4468849697
952	0.4461037664
953	0.4455691128
954	0.4452801224
955	0.4444082474
956	0.4437329538
957	0.4430093475
958	0.4425009782
959	0.4416885695
960	0.4409919306
961	0.4407649993
962	0.4402669941
963	0.4397536802
964	0.4393815518
965	0.4386323101
966	0.4377548141
967	0.4374249818
968	0.4369239231
969	0.4364722571
970	0.4362196641
971	0.4356732482
972	0.435293069
973	0.4347640153
974	0.4341975609
975	0.433672118
976	0.4335198719
977	0.4323478081
978	0.431812444
979	0.4309228315
980	0.4300633137
981	0.4295279175
982	0.4292687091
983	0.428394469
984	0.4280551602
985	0.4268250325
986	0.4260034109
987	0.4256567047
988	0.4252251757
989	0.4250432662
990	0.4242475735
991	0.4240434611
992	0.4233318181
993	0.4226932736
994	0.4222709443
995	0.4214729757
996	0.4208558668
997	0.42073789
998	0.4206025387
999	0.4202858253
